time,x,y,z
2.726,-12.55443818,-6.322110493,37.98834582
2.728,-12.42842675,-6.060766121,37.94054467
2.73,-12.29977825,-5.8037558,37.88503284
2.732,-12.16863274,-5.551280568,37.82206224
2.734,-12.03513134,-5.303525346,37.75189003
2.736,-11.89941587,-5.060658939,37.67477771
2.738,-11.7616285,-4.822834163,37.59099001
2.74,-11.62191149,-4.590187988,37.50079401
2.742,-11.48040681,-4.362841735,37.4044582
2.744,-11.3372559,-4.140901397,37.30225158
2.746,-11.19259932,-3.924457958,37.19444277
2.748,-11.04657651,-3.713587757,37.0812993
2.75,-10.89932553,-3.50835292,36.96308679
2.752,-10.75098278,-3.30880182,36.84006828
2.754,-10.6016828,-3.114969568,36.71250354
2.756,-10.45155803,-2.92687853,36.58064853
2.758,-10.3007386,-2.744538881,36.44475478
2.76,-10.14935215,-2.567949159,36.30506894
2.762,-9.997523676,-2.397096844,36.16183229
2.764,-9.845375312,-2.231958961,36.01528037
2.766,-9.693026239,-2.072502689,35.86564262
2.768,-9.540592531,-1.918685915,35.71314205
2.77,-9.388187043,-1.770457866,35.55799502
2.772,-9.23591931,-1.627759716,35.40041098
2.774,-9.083895456,-1.490525165,35.24059233
2.776,-8.932218123,-1.358681009,35.07873428
2.778,-8.780986407,-1.232147758,34.91502471
2.78,-8.630295807,-1.110840152,34.74964418
2.782,-8.480238195,-0.99466773,34.58276584
2.784,-8.330901781,-0.883535356,34.41455545
2.786,-8.182371104,-0.777343721,34.24517141
2.788,-8.034727026,-0.675989855,34.07476484
2.79,-7.888046735,-0.579367579,33.9034796
2.792,-7.742403762,-0.487367976,33.73145244
2.794,-7.597867998,-0.399879814,33.55881313
2.796,-7.454505733,-0.316789957,33.38568454
2.798,-7.312379683,-0.237983761,33.21218283
2.8,-7.171549045,-0.163345433,33.03841763
2.802,-7.032069539,-0.092758382,32.86449217
2.804,-6.89399347,-0.026105544,32.69050352
2.806,-6.757369786,0.036730319,32.51654273
2.808,-6.622244144,0.095866326,32.34269508
2.81,-6.488658984,0.151419228,32.16904024
2.812,-6.356653596,0.203505153,31.99565251
2.814,-6.226264204,0.252239389,31.82260103
2.816,-6.09752404,0.297736177,31.64994999
2.818,-5.970463428,0.34010852,31.4777588
2.82,-5.845109867,0.379468018,31.30608237
2.822,-5.721488118,0.415924711,31.13497128
2.824,-5.59962029,0.44958694,30.964472
2.826,-5.479525925,0.480561224,30.79462707
2.828,-5.361222089,0.508952152,30.62547534
2.83,-5.244723459,0.534862281,30.45705212
2.832,-5.130042411,0.558392061,30.28938943
2.834,-5.01718911,0.579639756,30.12251613
2.836,-4.906171593,0.598701388,29.95645811
2.838,-4.796995862,0.615670682,29.79123851
