"time","firstOrder.y","der(firstOrder.y)","firstOrder.u","step.y"
2.08,0.001950073257880449,-0.006500244192934828,0,0
2.1,0.001824325119113942,-0.006081083730379806,0,0
2.12,0.001706692651341289,-0.005688975504470963,0,0
2.14,0.001596644139106527,-0.005322147130355089,0,0
2.16,0.001493685833095539,-0.004978952776985129,0,0
2.18,0.001397371327780625,-0.004657904425935417,0,0
2.2,0.001307267419014065,-0.004357558063380216,0,0
2.22,0.001222969766253478,-0.004076565887511594,0,0
2.24,0.00114411012563861,-0.003813700418795367,0,0
2.26,0.001070337000661326,-0.003567790002204421,0,0
2.28,0.001001318359562233,-0.003337727865207445,0,0
2.3,0.0009367508686354306,-0.003122502895451435,0,0
2.32,0.0008763490074358643,-0.002921163358119548,0,0
2.34,0.0008198402173105304,-0.002732800724368435,0,0
2.36,0.0007669746829346102,-0.002556582276448701,0,0
2.38,0.0007175203138686045,-0.002391734379562015,0,0
2.4,0.000671253619278916,-0.002237512064263053,0,0
2.42,0.0006279690392542833,-0.002093230130847611,0,0
2.44,0.0005874776209392765,-0.001958258736464255,0,0
2.46,0.0005495963382986673,-0.001831987794328891,0,0
2.48,0.0005141562576787671,-0.001713854192262557,0,0
2.5,0.0004810032634033926,-0.001603344211344642,0,0
2.52,0.0004499875469219008,-0.001499958489739669,0,0
2.54,0.0004209703760193561,-0.001403234586731187,0,0
2.56,0.0003938259499078257,-0.001312753166359419,0,0
2.58,0.00036843160857782,-0.001228105361926067,0,0
2.6,0.0003446734369691968,-0.001148911456563989,0,0
2.62,0.0003224487287745013,-0.001074829095915004,0,0
2.64,0.0003016570197839677,-0.001005523399279892,0,0
2.66,0.0002822049663870597,-0.0009406832212901988,0,0
2.68,0.0002640099106077271,-0.0008800330353590903,0,0
2.7,0.0002469909483444739,-0.0008233031611482463,0,0
2.72,0.0002310730027045741,-0.0007702433423485801,0,0
2.74,0.0002161859966314363,-0.0007206199887714542,0,0
2.76,0.0002022641529986687,-0.0006742138433288957,0,0
2.78,0.0001892455405475997,-0.0006308184684919989,0,0
2.8,0.0001770722656388546,-0.0005902408854628486,0,0
2.82,0.0001656891096523206,-0.0005522970321744021,0,0
2.84,0.0001550430941835604,-0.0005168103139452015,0,0
2.86,0.0001450835677166312,-0.0004836118923887705,0,0
2.88,0.0001357615431236995,-0.0004525384770789983,0,0
2.9,0.0001270292513768065,-0.0004234308379226882,0,0
2.92,0.0001188573608479488,-0.000396191202826496,0,0
2.94,0.0001112304927056647,-0.0003707683090188824,0,0
2.96,0.0001040959975854168,-0.0003469866586180558,0,0
2.98,9.742081316137718e-05,-0.0003247360438712572,0,0
3,9.117341355924339e-05,-0.0003039113785308113,0,0
3.02,8.532355850828508e-05,-0.0002844118616942836,0,0
3.04,7.984473883538514e-05,-0.0002661491294512838,0,0
3.06,7.472856886056822e-05,-0.0002490952295352274,0,0
3.08,6.994100779863079e-05,-0.0002331366926621026,0,0
3.1,6.545972888296363e-05,-0.0002181990962765454,0,0
3.12,6.12633215961119e-05,-0.0002042110719870396,0,0
3.14,5.733110384550168e-05,-0.0001911036794850056,0,0
3.16,5.364293413916679e-05,-0.0001788097804638893,0,0
3.18,5.02004036953626e-05,-0.000167334678984542,0,0
3.2,4.698029043903368e-05,-0.0001566009681301123,0,0
3.22,4.396621980943306e-05,-0.0001465540660314435,0,0
3.24,4.114428968785274e-05,-0.0001371476322928425,0,0
3.26,3.850110373763226e-05,-0.0001283370124587742,0,0
3.28,3.602364226691199e-05,-0.0001200788075563733,0,0
3.3,3.370745614870304e-05,-0.0001123581871623435,0,0
3.32,3.154371792713587e-05,-0.0001051457264237862,0,0
3.34,2.951924552880796e-05,-9.839748509602651e-05,0,0
3.36,2.762462577441695e-05,-9.208208591472316e-05,0,0
3.38,2.585070253464262e-05,-8.616900844880872e-05,0,0
3.4,2.418848231484834e-05,-8.062827438282781e-05,0,0
3.42,2.263285730585366e-05,-7.544285768617886e-05,0,0
3.44,2.11822405937823e-05,-7.060746864594099e-05,0,0
3.46,1.982542770843945e-05,-6.60847590281315e-05,0,0
3.48,1.855585437665641e-05,-6.185284792218803e-05,0,0
3.5,1.736707862214669e-05,-5.789026207382229e-05,0,0
3.52,1.625271533724205e-05,-5.417571779080682e-05,0,0
3.54,1.520740949049122e-05,-5.069136496830405e-05,0,0
3.56,1.423461786573709e-05,-4.744872621912362e-05,0,0
3.58,1.332450281386378e-05,-4.441500937954593e-05,0,0
3.6,1.247265656413245e-05,-4.15755218804415e-05,0,0
3.62,1.167479092990854e-05,-3.891596976636181e-05,0,0
3.64,1.09266985156962e-05,-3.642232838565401e-05,0,0
3.66,1.022421392417273e-05,-3.408071308057577e-05,0,0
3.68,9.569099034947426e-06,-3.189699678315808e-05,0,0
3.7,8.956473416659152e-06,-2.985491138886384e-05,0,0
3.72,8.382862924933063e-06,-2.794287641644354e-05,0,0
3.74,7.845596349897188e-06,-2.615198783299063e-05,0,0
3.76,7.342111435375349e-06,-2.447370478458449e-05,0,0
3.78,6.869933051390439e-06,-2.289977683796813e-05,0,0
3.8,6.428150484781807e-06,-2.142716828260602e-05,0,0
3.82,6.015244346091575e-06,-2.005081448697192e-05,0,0
3.84,5.628723055736474e-06,-1.876241018578825e-05,0,0
3.86,5.266885171778223e-06,-1.755628390592741e-05,0,0
3.88,4.928107307584431e-06,-1.642702435861477e-05,0,0
3.9,4.61082892155478e-06,-1.536942973851593e-05,0,0
3.92,4.313882660036435e-06,-1.437960886678811e-05,0,0
3.94,4.036559965177376e-06,-1.345519988392459e-05,0,0
3.96,3.777169159772122e-06,-1.259056386590707e-05,0,0
3.98,3.534517467106816e-06,-1.178172489035605e-05,0,0
4,3.307441584173615e-06,-1.102480528057871e-05,0,0
4.02,3.094795342614097e-06,-1.031598447538032e-05,0,0
4.04,2.895605934399984e-06,-9.652019781333279e-06,0,0
4.06,2.710935752726244e-06,-9.03645250908748e-06,0,0
4.08,2.538891084033328e-06,-8.462970280111093e-06,0,0
4.1,2.378787438209462e-06,-7.929291460698205e-06,0,0
4.12,2.22997974330209e-06,-7.433265811006965e-06,0,0
4.14,2.091855755504464e-06,-6.972852518348214e-06,0,0
4.16,1.963829469142126e-06,-6.546098230473751e-06,0,0
4.18,1.845334526659484e-06,-6.151115088864945e-06,0,0
4.2,1.735817628606303e-06,-5.786058762021008e-06,0,0
4.22,1.634731943624277e-06,-5.44910647874759e-06,0,0
4.24,1.541530518433523e-06,-5.138435061445078e-06,0,0
4.26,1.455659687819152e-06,-4.852198959397172e-06,0,0
4.28,1.376552484617759e-06,-4.588508282059198e-06,0,0
4.3,1.300709696033345e-06,-4.335698986777815e-06,0,0
